nama,harga,penjual,lokasi_toko,terjual,rating
SEBLAK KERING CIKRUH BUMBU KACANG VARIAN BASRENG,Rp10.999,Simshop_,Cimahi,11 terjual,5.0
Kerupuk Rafael/kerupuk seblak viral/kerupuk mawar 1kg,Rp33.000,KEDAI SAYUR KU,Tangerang Selatan,30+ terjual,4.9
Kerupuk Mawar Putih Bulat Mentah / Bahan Seblak 1kg Gurih dan Enak,Rp11.500,De Kriuk,Kab. Brebes,10 terjual,5.0
siomay mini GURILEM EKONOMIS 1KG Toping Baso Aci Cuanki Seblak,Rp25.479,gaiagarut,Kab. Garut,90+ terjual,4.9
Kerupuk Seblak Pedas Original,Rp6.000,V3 OnSHop,Surabaya,30+ terjual,4.4
Emping Balado 130g,Rp13.500,oke snack,Jakarta Selatan,100+ terjual,4.9
Keripik Tempe Oven,Rp30.500,Pisang Goreng Madu Bu Nanik,Jakarta Barat,4rb+ terjual,4.7
cemilan keripik tahu,Rp36.500,oke snack,Jakarta Selatan,100+ terjual,4.9
Peyek Lin's,Rp7.500,Pisang Goreng Madu Bu Nanik,Jakarta Barat,4rb+ terjual,4.8
Baso Aci Basrenger Extra Pedas 230gr,Rp17.300,Rak Sebelah,Jakarta Pusat,2rb+ terjual,4.8
KERUPUK MAWAR PEDAS SEBLAK RAFAEL ,Rp12.000,BaroqahSnack,Jakarta Barat,4 terjual,5.0
KRUPUK JABLAY PEDAS 500Gram/KRUPUK SEBLAK/SEBLAK KERING/SNACK KILOAN,Rp22.999,Agen Snack Murah,Jakarta Barat,50+ terjual,4.9
seblak instan seblak komplit murah seblak garut,Rp13.000,laatazal-surabaya,Surabaya,60+ terjual,4.4
INDOMIE MIE KUAH INSTANT RASA SEBLAK HOT JELETOT 75 GR,Rp3.100,Hypermart Cibubur Junction,Jakarta Timur,100+ terjual,5.0
Krupuk Bintang Warna Warni Rasa Bawang Kerupuk Seblak Mentah 500gr,Rp11.500,Panen Raya Oleh Oleh,Surabaya,100+ terjual,5.0
Kerupuk Keriting Palembang,Rp28.000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1rb+ terjual,4.9
SEBLAKKU Pedas Gurih by Ny. Entin,Rp14.000,Ny Entin Foods,Bandung,100+ terjual,4.8
Seblak Instant Basranger Extra Pedas Daun Jeruk (200gr),Rp19.700,Gerai Snack Official Shop,Kab. Tangerang,100+ terjual,4.8
"Seblak Instant ""mBak'Well""",Rp15.000,Welly Mart,Tangerang Selatan,100+ terjual,5.0
Seblak Kering Pedas Boboko Snack lvl 8 - Cemilan Pedas,Rp20.000,Boboko Snack Oficial,Kab. Bandung Barat,22 terjual,5.0
krupuk seblak rantai warna warni 250grm,Rp6.000,krupuk bukroh,Kab. Sidoarjo,6 terjual,5.0
Kylafood Paket (3 Seblak Original 2 Batagor kuah) ,Rp105.705,kylafood,Bandung,3rb+ terjual,4.9
Seblak instan Murah Enak,Rp3.800,Kedai_boci,Semarang,0,0
kerupuk seblak kencur 250 gr,Rp12.450,benka snack,Surabaya,7 terjual,5.0
"150 Pcs CUANKI SIOMAY Kering Topping Pelengkap Baso Aci, Seblak",Rp34.500,Endo Shop ID,Kab. Garut,30+ terjual,5.0
"Paket Happy (Seblak Original, Batagor Kuah, Bacil)",Rp64.815,kylafood,Bandung,500+ terjual,4.9
kerupuk seblak mentah 200gr,Rp12.000,Jajanan Bandung 17,Bandung,1 terjual,3.0
Kylafood Batagor Kuah,Rp27.075,kylafood,Bandung,10rb+ terjual,4.9
Kerupuk seblak Mawar / Seblak Rafael / Seblak viral 500 gr - 250 gr,Rp17.500,Bintang Snack & Camilan,Semarang,12 terjual,5.0
Kylafood Paket Batagor dan Toping Pilus,Rp35.235,kylafood,Bandung,1rb+ terjual,4.9
"baso aci keju, boci, bakso aci, cuanki, seblak instan",Rp10.000,baso aci masabi,Jakarta Selatan,100+ terjual,5.0
Seblak Bantat 250 gram,Rp15.500,Kriuk Kriuk Snack Kiloan New,Bandung,20 terjual,4.9
Seblak Instan Enak dan Murah,Rp11.000,Aishakira online,Jakarta Timur,80+ terjual,5.0
cuanki pangsit segitiga atau cipet isi 40 pcs toping seblak baso aci,Rp13.999,CUANKI CULAMETAN,Kab. Garut,100+ terjual,4.8
Batagor Lidah Kering Cuanki 1 Bungkus Bakso Aci Baso Seblak,Rp11.000,Celikafood,Bandung,100+ terjual,4.8
